tower_id,total_calls,drop_rate_percentage,tower_rank
TWR0440,7212,8.82,1
TWR0035,7395,8.82,1
TWR0300,7268,8.79,2
TWR0331,7491,8.77,3
TWR0043,7255,8.74,4
TWR0478,7431,8.73,5
TWR0085,7214,8.71,6
TWR0498,7325,8.71,6
TWR0428,7246,8.69,7
TWR0178,7307,8.66,8
TWR0492,7348,8.66,8
TWR0259,7308,8.66,8
TWR0215,7297,8.66,8
TWR0123,7449,8.66,8
TWR0018,7299,8.66,8
TWR0186,7304,8.64,9
TWR0383,7296,8.63,10
TWR0007,7373,8.61,11
TWR0191,7400,8.61,11
TWR0239,7476,8.61,11
TWR0027,7248,8.58,12
TWR0379,7313,8.57,13
TWR0155,7284,8.57,13
TWR0107,7539,8.56,14
TWR0262,7306,8.55,15
TWR0409,7331,8.55,15
TWR0220,7282,8.53,16
TWR0486,7301,8.53,16
TWR0047,7266,8.53,16
TWR0481,7440,8.52,17
TWR0181,7368,8.51,18
TWR0001,7317,8.51,18
TWR0257,7277,8.51,18
TWR0431,7363,8.5,19
TWR0351,7318,8.5,19
TWR0064,7342,8.5,19
TWR0418,7218,8.49,20
TWR0344,7413,8.49,20
TWR0077,7320,8.48,21
TWR0432,7203,8.47,22
TWR0251,7097,8.47,22
TWR0083,7398,8.46,23
TWR0398,7186,8.46,23
TWR0289,7275,8.45,24
TWR0376,7221,8.45,24
TWR0328,7411,8.45,24
TWR0115,7396,8.44,25
TWR0099,7160,8.44,25
TWR0109,7238,8.44,25
TWR0350,7338,8.44,25
TWR0205,7311,8.43,26
TWR0093,7248,8.43,26
TWR0468,7314,8.42,27
TWR0012,7268,8.41,28
TWR0332,7400,8.41,28
TWR0326,7434,8.41,28
TWR0053,7285,8.41,28
TWR0079,7184,8.41,28
TWR0336,7274,8.4,29
TWR0277,7323,8.4,29
TWR0310,7272,8.4,29
TWR0223,7289,8.4,29
TWR0373,7149,8.39,30
TWR0041,7451,8.39,30
TWR0339,7356,8.39,30
TWR0319,7294,8.39,30
TWR0382,7380,8.39,30
TWR0417,7505,8.38,31
TWR0202,7318,8.38,31
TWR0438,7301,8.38,31
TWR0051,7223,8.38,31
TWR0144,7411,8.37,32
TWR0460,7431,8.37,32
TWR0422,7336,8.36,33
TWR0216,7329,8.36,33
TWR0174,7354,8.36,33
TWR0333,7377,8.36,33
TWR0161,7238,8.36,33
TWR0412,7368,8.35,34
TWR0323,7445,8.35,34
TWR0114,7351,8.35,34
TWR0411,7373,8.35,34
TWR0329,7530,8.35,34
TWR0485,7322,8.34,35
TWR0206,7314,8.34,35
TWR0349,7258,8.34,35
TWR0495,7322,8.34,35
TWR0442,7351,8.33,36
TWR0049,7303,8.33,36
TWR0228,7385,8.33,36
TWR0387,7264,8.33,36
TWR0016,7367,8.33,36
TWR0266,7372,8.33,36
TWR0313,7454,8.32,37
TWR0258,7331,8.32,37
TWR0444,7196,8.32,37
TWR0359,7351,8.31,38
TWR0036,7337,8.3,39
TWR0037,7479,8.3,39
TWR0372,7341,8.3,39
TWR0381,7202,8.3,39
TWR0316,7213,8.3,39
TWR0004,7144,8.3,39
TWR0129,7223,8.29,40
TWR0391,7255,8.28,41
TWR0222,7284,8.28,41
TWR0404,7371,8.28,41
TWR0081,7369,8.28,41
TWR0449,7146,8.28,41
TWR0090,7271,8.28,41
TWR0439,7369,8.28,41
TWR0389,7391,8.27,42
TWR0230,7204,8.27,42
TWR0279,7312,8.26,43
TWR0063,7358,8.26,43
TWR0142,7237,8.26,43
TWR0430,7246,8.25,44
TWR0497,7330,8.25,44
TWR0248,7275,8.25,44
TWR0291,7360,8.25,44
TWR0153,7240,8.25,44
TWR0229,7279,8.24,45
TWR0232,7195,8.24,45
TWR0189,7187,8.24,45
TWR0416,7126,8.24,45
TWR0182,7302,8.23,46
TWR0067,7343,8.23,46
TWR0360,7456,8.23,46
TWR0164,7338,8.23,46
TWR0293,7347,8.23,46
TWR0038,7384,8.23,46
TWR0086,7428,8.23,46
TWR0346,7196,8.23,46
TWR0073,7194,8.23,46
TWR0494,7196,8.23,46
TWR0104,7293,8.23,46
TWR0048,7249,8.22,47
TWR0233,7468,8.22,47
TWR0450,7509,8.22,47
TWR0082,7421,8.22,47
TWR0455,7453,8.22,47
TWR0284,7223,8.21,48
TWR0121,7365,8.2,49
TWR0108,7293,8.2,49
TWR0008,7169,8.2,49
TWR0163,7267,8.2,49
TWR0302,7257,8.2,49
TWR0026,7351,8.2,49
TWR0172,7302,8.19,50
TWR0304,7285,8.19,50
TWR0276,7317,8.19,50
TWR0270,7305,8.19,50
TWR0170,7379,8.19,50
TWR0118,7387,8.18,51
TWR0368,7176,8.18,51
TWR0168,7172,8.17,52
TWR0388,7401,8.17,52
TWR0240,7149,8.17,52
TWR0401,7267,8.17,52
TWR0265,7372,8.17,52
TWR0307,7307,8.17,52
TWR0061,7271,8.16,53
TWR0314,7387,8.16,53
TWR0234,7222,8.16,53
TWR0098,7218,8.16,53
TWR0246,7290,8.16,53
TWR0423,7222,8.16,53
TWR0356,7275,8.15,54
TWR0183,7163,8.15,54
TWR0094,7349,8.15,54
TWR0136,7347,8.15,54
TWR0015,7223,8.15,54
TWR0138,7416,8.14,55
TWR0203,7407,8.14,55
TWR0296,7232,8.14,55
TWR0354,7324,8.14,55
TWR0055,7365,8.13,56
TWR0096,7409,8.13,56
TWR0169,7333,8.13,56
TWR0377,7422,8.12,57
TWR0157,7324,8.12,57
TWR0378,7289,8.12,57
TWR0256,7184,8.12,57
TWR0305,7250,8.12,57
TWR0247,7414,8.12,57
TWR0244,7244,8.12,57
TWR0196,7381,8.12,57
TWR0403,7304,8.12,57
TWR0315,7467,8.12,57
TWR0317,7327,8.12,57
TWR0208,7341,8.12,57
TWR0125,7386,8.11,58
TWR0095,7347,8.11,58
TWR0482,7320,8.11,58
TWR0204,7415,8.11,58
