customer_id,churned
CUST83515,No
CUST01550,Yes
CUST79742,No
CUST77726,Yes
CUST43984,No
CUST83094,No
CUST69465,No
CUST74576,No
CUST20748,No
CUST82958,Yes
CUST25327,No
CUST33134,No
CUST48093,No
CUST00473,No
CUST36715,No
CUST08216,No
CUST44544,No
CUST03194,Yes
CUST46903,No
CUST90815,Yes
CUST22094,No
CUST27286,Yes
CUST72711,Yes
CUST39682,No
CUST80568,No
CUST54727,No
CUST19435,Yes
CUST23278,No
CUST00377,Yes
CUST52105,Yes
CUST46180,No
CUST01665,Yes
CUST61136,Yes
CUST00753,No
CUST02363,No
CUST72234,No
CUST13076,Yes
CUST86060,No
CUST52998,No
CUST03298,Yes
CUST13504,No
CUST85225,Yes
CUST62981,No
CUST79350,No
CUST50261,Yes
CUST68693,Yes
CUST45028,No
CUST01121,Yes
CUST89870,Yes
CUST61314,Yes
CUST50809,Yes
CUST48467,No
CUST52773,No
CUST84502,No
CUST50813,No
CUST82967,No
CUST80348,No
CUST86888,No
CUST81405,Yes
CUST28067,No
CUST32940,Yes
CUST68415,Yes
CUST34053,No
CUST75804,No
CUST27979,No
CUST06203,No
CUST03319,Yes
CUST10863,No
CUST37661,Yes
CUST83370,Yes
CUST39155,No
CUST34116,No
CUST28871,Yes
CUST87922,No
CUST74598,No
CUST17768,Yes
CUST04524,No
CUST49121,No
CUST77130,No
CUST20838,Yes
CUST65168,No
CUST13999,No
CUST67496,No
CUST11866,No
CUST84667,No
CUST85085,Yes
CUST73429,Yes
CUST87694,No
CUST69778,No
CUST79807,No
CUST33991,No
CUST00017,No
CUST47622,No
CUST38265,No
CUST22204,No
CUST10904,No
CUST17451,No
CUST13825,Yes
CUST09986,Yes
CUST07707,No
CUST65523,No
CUST06873,No
CUST22028,No
CUST66975,No
CUST63567,No
CUST33831,No
CUST22252,No
CUST30279,Yes
CUST51031,Yes
CUST10824,Yes
CUST66368,Yes
CUST78216,Yes
CUST43809,No
CUST20286,Yes
CUST77996,Yes
CUST43026,No
CUST64746,No
CUST05635,No
CUST59615,No
CUST24812,No
CUST83341,No
CUST62725,No
CUST62244,No
CUST53370,No
CUST28037,No
CUST46855,No
CUST55508,Yes
CUST03779,No
CUST12330,No
CUST21706,No
CUST84657,Yes
CUST31903,Yes
CUST74251,No
CUST34822,No
CUST21936,No
CUST69080,Yes
CUST79258,No
CUST17511,Yes
CUST30824,No
CUST48865,Yes
CUST04455,No
CUST83415,No
CUST41021,Yes
CUST27564,Yes
CUST85808,No
CUST66956,No
CUST16863,No
CUST60876,No
CUST15853,No
CUST87325,No
CUST71715,No
CUST40171,No
CUST09791,Yes
CUST65677,No
CUST73234,No
CUST59633,Yes
CUST12072,No
CUST26010,No
CUST39815,Yes
CUST32778,No
CUST15030,No
CUST25262,No
CUST07103,Yes
CUST53176,Yes
CUST11647,Yes
CUST46038,No
CUST14867,Yes
CUST13553,No
CUST83945,No
CUST70346,Yes
CUST79118,No
CUST26685,Yes
CUST09806,No
CUST84345,Yes
CUST26650,No
CUST46060,Yes
CUST32483,No
CUST33558,No
CUST40631,Yes
CUST12325,Yes
CUST86445,No
CUST73725,No
CUST81116,Yes
CUST40843,Yes
CUST07361,Yes
CUST55613,No
CUST34143,Yes
CUST88598,No
CUST54588,Yes
CUST12306,Yes
CUST03554,No
CUST85039,Yes
CUST74391,Yes
CUST49576,Yes
CUST40917,Yes
CUST37367,No
CUST73147,Yes
CUST15286,No
CUST02584,No
CUST38219,No
CUST41669,No
CUST78798,No
CUST43091,No
CUST13528,No
CUST68524,No
CUST90014,Yes
CUST18681,Yes
CUST04413,Yes
CUST17993,No
CUST21170,No
CUST30641,Yes
CUST74255,Yes
CUST89677,No
CUST56843,No
CUST06796,Yes
CUST88107,No
CUST45652,No
CUST64056,Yes
CUST58422,Yes
CUST41146,No
CUST05760,Yes
CUST26388,Yes
CUST49935,No
CUST34340,Yes
CUST28595,Yes
CUST80944,Yes
CUST14996,No
CUST62633,No
CUST19363,Yes
CUST18436,Yes
CUST66392,No
CUST65379,No
CUST46115,Yes
CUST77418,Yes
CUST58414,No
CUST27219,Yes
CUST44210,Yes
CUST39528,No
CUST01135,Yes
CUST44650,Yes
CUST35413,Yes
CUST06535,Yes
CUST11566,Yes
CUST13822,No
CUST34999,No
CUST18712,No
CUST89099,No
CUST88427,No
CUST11084,Yes
CUST75269,No
CUST37850,Yes
CUST21270,No
CUST75178,No
CUST50793,No
CUST44232,Yes
CUST78422,No
CUST28759,Yes
CUST53140,No
CUST45232,No
CUST27782,No
CUST45847,Yes
CUST31496,No
CUST68677,Yes
CUST32913,No
CUST27826,No
CUST63766,Yes
CUST03365,No
CUST13556,No
CUST71381,No
CUST39191,No
CUST18129,No
CUST86280,No
CUST33484,No
CUST72815,Yes
CUST01831,No
CUST79775,Yes
CUST52390,No
CUST70340,Yes
CUST45294,No
CUST46498,Yes
CUST25507,No
CUST19846,Yes
CUST05432,No
CUST05523,No
CUST73618,No
CUST53646,No
CUST62969,No
CUST67140,No
CUST07215,No
CUST39881,No
CUST48987,No
CUST15609,No
CUST16054,No
CUST02937,No
CUST47897,Yes
CUST31624,No
CUST85323,No
CUST83983,No
CUST59395,Yes
CUST19246,No
CUST67605,Yes
CUST16955,No
CUST78003,No
CUST17312,Yes
CUST30421,No
CUST79822,Yes
CUST80332,Yes
CUST54272,Yes
CUST18450,No
CUST11855,No
CUST17350,No
CUST82370,Yes
CUST59380,No
CUST67131,No
CUST39574,No
CUST31800,No
CUST43097,Yes
CUST70308,No
CUST08292,No
CUST08772,Yes
CUST80305,No
CUST54183,Yes
CUST40515,No
CUST77546,Yes
CUST66673,Yes
CUST80199,Yes
CUST90974,No
CUST84427,No
CUST72355,No
CUST82928,Yes
CUST77203,No
CUST69392,Yes
CUST39037,Yes
CUST26468,No
CUST38767,Yes
CUST29598,No
CUST29730,No
CUST08493,No
CUST04985,No
CUST57707,No
CUST49274,Yes
CUST19865,Yes
CUST53027,No
CUST48081,Yes
CUST82428,Yes
CUST24061,Yes
CUST68268,Yes
CUST12014,No
CUST68531,Yes
CUST25695,No
CUST42688,Yes
CUST55978,No
CUST62077,No
CUST44916,Yes
CUST47343,Yes
CUST21961,Yes
CUST01045,No
CUST43932,No
CUST82533,Yes
CUST34676,Yes
CUST01043,Yes
CUST59823,Yes
CUST55131,No
CUST47063,No
CUST24428,No
CUST09415,Yes
CUST32995,No
CUST24714,No
CUST17367,Yes
CUST31157,No
CUST14999,Yes
CUST50852,Yes
CUST69616,No
CUST03016,No
CUST19148,Yes
CUST01219,Yes
CUST44739,Yes
CUST26951,No
CUST38134,No
CUST42878,Yes
CUST48330,Yes
CUST82909,Yes
CUST07984,No
CUST03995,No
CUST28845,Yes
CUST85851,No
CUST06313,Yes
CUST39907,Yes
CUST90090,Yes
CUST71104,Yes
CUST68384,Yes
CUST57036,No
CUST13204,Yes
CUST04243,Yes
CUST49386,No
CUST70789,Yes
CUST76773,Yes
CUST30070,Yes
CUST20554,Yes
CUST21995,Yes
CUST70844,No
CUST69692,No
CUST75920,No
CUST60586,No
CUST34350,No
CUST65166,No
CUST44789,No
CUST46745,Yes
CUST69304,No
CUST53302,Yes
CUST91445,No
CUST14479,No
CUST10216,No
CUST64843,Yes
CUST76032,No
CUST77391,No
CUST41697,No
CUST86774,Yes
CUST36684,Yes
CUST74042,Yes
CUST46159,Yes
CUST85083,No
CUST47077,No
CUST42331,Yes
CUST22657,No
CUST77456,Yes
CUST31785,No
CUST03397,Yes
CUST11031,Yes
CUST89330,No
CUST48799,Yes
CUST18366,Yes
CUST91129,No
CUST33423,No
CUST59277,No
CUST19428,No
CUST69991,No
CUST36269,No
CUST06240,No
CUST52120,No
CUST36339,No
CUST60028,No
CUST57066,No
CUST36468,Yes
CUST81158,No
CUST38417,No
CUST58257,No
CUST81133,Yes
CUST35081,No
CUST79522,Yes
CUST15399,Yes
CUST37885,No
CUST40414,Yes
CUST25979,No
CUST50681,No
CUST17499,No
CUST01145,Yes
CUST85812,No
CUST55137,No
CUST06365,No
CUST56315,No
CUST48369,No
CUST22989,No
CUST10146,Yes
CUST76756,Yes
CUST14985,No
CUST70266,Yes
CUST27543,Yes
CUST08437,No
CUST81707,Yes
CUST79825,No
CUST78634,No
CUST71985,Yes
CUST66839,Yes
CUST22107,No
CUST20865,No
CUST79275,Yes
CUST11292,Yes
CUST31324,Yes
CUST38855,Yes
CUST47779,Yes
CUST62481,No
CUST80236,No
CUST33806,Yes
CUST06488,Yes
CUST11937,No
CUST67013,No
CUST76501,No
CUST66695,No
CUST11552,No
CUST00631,Yes
CUST37622,No
CUST80235,Yes
CUST75042,No
CUST48577,No
CUST00787,No
CUST58581,Yes
CUST70795,No
CUST75805,Yes
CUST37486,Yes
CUST79239,Yes
CUST04797,Yes
CUST36216,Yes
CUST00012,Yes
CUST55430,No
CUST54415,Yes
CUST37353,Yes
CUST63167,Yes
CUST86332,No
CUST59570,No
CUST25764,Yes
CUST10143,No
CUST12946,No
CUST47619,No
CUST21760,Yes
CUST71851,Yes
CUST12246,No
CUST09618,Yes
CUST90487,No
CUST67006,Yes
CUST52674,No
CUST73981,Yes
CUST33067,No
CUST78701,No
CUST45821,No
CUST28861,No
CUST14368,No
CUST89242,Yes
CUST23210,No
CUST57043,Yes
CUST77302,Yes
CUST61413,No
CUST90809,Yes
CUST75635,No
CUST55361,Yes
CUST09335,Yes
CUST57747,No
