cohort_month,cohort_size,retained_3m,retained_6m,retained_12m
2021-01,1543,99.22,98.19,95.59
2021-02,1416,99.29,98.31,95.69
2021-03,1502,99.47,98.4,95.74
2021-04,1529,99.22,98.1,96.4
2021-05,1587,99.05,98.49,96.16
2021-06,1522,99.41,98.29,95.53
2021-07,1561,99.1,98.21,95.58
2021-08,1522,99.21,98.03,95.01
2021-09,1463,99.45,98.29,94.33
2021-10,1548,99.48,98.71,95.93
2021-11,1513,99.27,98.41,94.91
2021-12,1604,99.44,98.44,96.13
2022-01,1638,99.45,98.41,95.24
2022-02,1391,98.92,97.77,94.68
2022-03,1579,99.3,98.04,94.81
2022-04,1505,99.07,97.81,94.09
2022-05,1570,99.17,97.71,93.89
2022-06,1548,99.48,98.45,93.48
2022-07,1535,99.02,97.65,92.9
2022-08,1528,99.02,97.97,93.59
2022-09,1492,98.99,98.12,92.63
2022-10,1594,99.12,97.68,93.66
2022-11,1581,98.48,97.41,91.9
2022-12,1543,98.7,97.21,92.09
2023-01,1589,99.18,97.92,92.51
2023-02,1409,98.79,97.87,91.63
2023-03,1539,99.03,97.01,90.58
2023-04,1507,98.81,96.95,90.78
2023-05,1653,98.85,96.31,88.38
2023-06,1516,98.02,95.91,88.72
2023-07,1611,98.57,96.52,87.9
2023-08,1578,98.67,96.7,88.47
2023-09,1573,98.92,96.76,88.18
2023-10,1621,98.33,96.48,86.74
2023-11,1467,98.57,95.98,86.23
2023-12,1592,98.24,95.67,84.67
2024-01,1543,98.44,96.37,85.55
2024-02,1447,98.34,95.92,84.73
2024-03,1653,98.49,95.04,82.88
2024-04,1514,98.15,95.38,82.89
2024-05,1544,97.73,93.98,81.28
2024-06,1506,98.41,94.75,80.74
2024-07,1585,96.91,92.18,79.12
2024-08,1598,97.56,92.99,77.22
2024-09,1485,97.91,93.33,78.72
2024-10,1558,97.05,91.53,74.71
2024-11,1507,96.15,89.45,74.12
2024-12,1529,96.6,89.73,74.23
2025-01,1548,96.58,89.02,74.16
2025-02,1380,96.88,87.97,73.91
2025-03,1507,96.68,86.4,74.52
2025-04,1467,95.23,83.78,68.51
2025-05,1578,95.56,84.35,65.78
2025-06,1551,94.39,81.62,50.87
2025-07,1534,91.98,77.31,5.87
2025-08,1505,91.76,77.21,0.0
2025-09,1496,92.25,75.8,0.0
2025-10,1611,89.45,73.56,0.0
2025-11,1562,85.72,70.87,0.0
2025-12,1601,82.01,58.21,0.0
2026-01,1538,76.85,9.1,0.0
2026-02,1382,75.25,0.0,0.0
2026-03,1568,65.75,0.0,0.0
2026-04,1541,15.12,0.0,0.0
2026-05,1560,0.0,0.0,0.0
2026-06,1578,0.0,0.0,0.0
2026-07,571,0.0,0.0,0.0
