operator,total_revenue,month,pre_revenue,growth_rate
Jazz,136822.84,2021-01,,
Jazz,309854.37,2021-02,136822.84,126.46
Jazz,573820.59,2021-03,309854.37,85.19
Jazz,746450.73,2021-04,573820.59,30.08
Jazz,1005353.3,2021-05,746450.73,34.68
Jazz,1105794.33,2021-06,1005353.3,9.99
Jazz,1432208.75,2021-07,1105794.33,29.52
Jazz,1564664.52,2021-08,1432208.75,9.25
Jazz,1755787.56,2021-09,1564664.52,12.21
Jazz,2063266.98,2021-10,1755787.56,17.51
Jazz,2140118.11,2021-11,2063266.98,3.72
Jazz,2389850.91,2021-12,2140118.11,11.67
Jazz,2624970.4,2022-01,2389850.91,9.84
Jazz,2612575.64,2022-02,2624970.4,-0.47
Jazz,3167315.46,2022-03,2612575.64,21.23
Jazz,3158329.55,2022-04,3167315.46,-0.28
Jazz,3428937.65,2022-05,3158329.55,8.57
Jazz,3652480.35,2022-06,3428937.65,6.52
Jazz,3917316.39,2022-07,3652480.35,7.25
Jazz,4027469.23,2022-08,3917316.39,2.81
Jazz,4124653.91,2022-09,4027469.23,2.41
Jazz,4529201.76,2022-10,4124653.91,9.81
Jazz,4527637.08,2022-11,4529201.76,-0.03
Jazz,4854694.92,2022-12,4527637.08,7.22
Jazz,5075821.99,2023-01,4854694.92,4.55
Jazz,4774577.87,2023-02,5075821.99,-5.93
Jazz,5922548.97,2023-03,4774577.87,24.04
Jazz,5354551.5,2023-04,5922548.97,-9.59
Jazz,5947540.34,2023-05,5354551.5,11.07
Jazz,6078957.69,2023-06,5947540.34,2.21
Jazz,6379453.6,2023-07,6078957.69,4.94
Jazz,6583513.61,2023-08,6379453.6,3.2
Jazz,6516027.44,2023-09,6583513.61,-1.03
Jazz,7148814.61,2023-10,6516027.44,9.71
Jazz,6914012.36,2023-11,7148814.61,-3.28
Jazz,7461782.2,2023-12,6914012.36,7.92
Jazz,7494622.79,2024-01,7461782.2,0.44
Jazz,6892885.99,2024-02,7494622.79,-8.03
Jazz,7919280.5,2024-03,6892885.99,14.89
Jazz,7412892.46,2024-04,7919280.5,-6.39
Jazz,7785891.65,2024-05,7412892.46,5.03
Jazz,7452826.72,2024-06,7785891.65,-4.28
Jazz,8284825.32,2024-07,7452826.72,11.16
Jazz,7872267.38,2024-08,8284825.32,-4.98
Jazz,7791169.62,2024-09,7872267.38,-1.03
Jazz,8251911.37,2024-10,7791169.62,5.91
Jazz,7927400.45,2024-11,8251911.37,-3.93
Jazz,8468678.46,2024-12,7927400.45,6.83
Jazz,8352706.93,2025-01,8468678.46,-1.37
Jazz,7825684.74,2025-02,8352706.93,-6.31
Jazz,9125837.41,2025-03,7825684.74,16.61
Jazz,8612632.86,2025-04,9125837.41,-5.62
Jazz,9130665.12,2025-05,8612632.86,6.01
Jazz,8751323.62,2025-06,9130665.12,-4.15
Jazz,9346084.35,2025-07,8751323.62,6.8
Jazz,9450073.11,2025-08,9346084.35,1.11
Jazz,9351847.67,2025-09,9450073.11,-1.04
Jazz,10101223.27,2025-10,9351847.67,8.01
Jazz,9738945.26,2025-11,10101223.27,-3.59
Jazz,10742073.31,2025-12,9738945.26,10.3
Jazz,10833617.88,2026-01,10742073.31,0.85
Jazz,10083293.54,2026-02,10833617.88,-6.93
Jazz,12475173.63,2026-03,10083293.54,23.72
Jazz,12140778.18,2026-04,12475173.63,-2.68
Jazz,13780055.1,2026-05,12140778.18,13.5
Jazz,14655071.38,2026-06,13780055.1,6.35
Jazz,6037514.65,2026-07,14655071.38,-58.8
Telenor,4050.0,2021-01,,
Telenor,22231.79,2021-02,4050.0,448.93
Telenor,45018.8,2021-03,22231.79,102.5
Telenor,62021.33,2021-04,45018.8,37.77
Telenor,83406.5,2021-05,62021.33,34.48
Telenor,84568.73,2021-06,83406.5,1.39
Telenor,126711.09,2021-07,84568.73,49.83
Telenor,108283.01,2021-08,126711.09,-14.54
Telenor,146726.38,2021-09,108283.01,35.5
Telenor,161902.35,2021-10,146726.38,10.34
Telenor,169798.96,2021-11,161902.35,4.88
Telenor,192257.11,2021-12,169798.96,13.23
Telenor,217886.28,2022-01,192257.11,13.33
Telenor,210346.54,2022-02,217886.28,-3.46
Telenor,261694.41,2022-03,210346.54,24.41
Telenor,262745.65,2022-04,261694.41,0.4
Telenor,296833.12,2022-05,262745.65,12.97
Telenor,308994.46,2022-06,296833.12,4.1
Telenor,321727.43,2022-07,308994.46,4.12
Telenor,386629.46,2022-08,321727.43,20.17
Telenor,361696.5,2022-09,386629.46,-6.45
Telenor,391126.18,2022-10,361696.5,8.14
Telenor,395593.4,2022-11,391126.18,1.14
Telenor,461908.2,2022-12,395593.4,16.76
Telenor,431726.0,2023-01,461908.2,-6.53
Telenor,429944.36,2023-02,431726.0,-0.41
Telenor,534965.24,2023-03,429944.36,24.43
Telenor,505209.09,2023-04,534965.24,-5.56
Telenor,530849.6,2023-05,505209.09,5.08
Telenor,556137.09,2023-06,530849.6,4.76
Telenor,529468.73,2023-07,556137.09,-4.8
Telenor,682676.17,2023-08,529468.73,28.94
Telenor,561324.2,2023-09,682676.17,-17.78
Telenor,625052.4,2023-10,561324.2,11.35
Telenor,612066.4,2023-11,625052.4,-2.08
Telenor,662811.9,2023-12,612066.4,8.29
Telenor,731334.78,2024-01,662811.9,10.34
Telenor,615416.24,2024-02,731334.78,-15.85
Telenor,763894.04,2024-03,615416.24,24.13
Telenor,686135.73,2024-04,763894.04,-10.18
Telenor,762247.5,2024-05,686135.73,11.09
Telenor,739539.68,2024-06,762247.5,-2.98
Telenor,830306.93,2024-07,739539.68,12.27
Telenor,782996.32,2024-08,830306.93,-5.7
Telenor,781777.32,2024-09,782996.32,-0.16
Telenor,832638.56,2024-10,781777.32,6.51
Telenor,824748.37,2024-11,832638.56,-0.95
Telenor,824277.72,2024-12,824748.37,-0.06
Telenor,852444.6,2025-01,824277.72,3.42
Telenor,766165.92,2025-02,852444.6,-10.12
Telenor,914212.0,2025-03,766165.92,19.32
Telenor,875796.42,2025-04,914212.0,-4.2
Telenor,888970.6,2025-05,875796.42,1.5
Telenor,902128.86,2025-06,888970.6,1.48
Telenor,925347.22,2025-07,902128.86,2.57
Telenor,920776.06,2025-08,925347.22,-0.49
Telenor,930695.73,2025-09,920776.06,1.08
Telenor,1027301.72,2025-10,930695.73,10.38
Telenor,1035261.55,2025-11,1027301.72,0.77
Telenor,1065801.41,2025-12,1035261.55,2.95
Telenor,1116865.97,2026-01,1065801.41,4.79
Telenor,1030440.33,2026-02,1116865.97,-7.74
Telenor,1242158.66,2026-03,1030440.33,20.55
Telenor,1214724.44,2026-04,1242158.66,-2.21
Telenor,1390339.59,2026-05,1214724.44,14.46
Telenor,1483724.23,2026-06,1390339.59,6.72
Telenor,607249.16,2026-07,1483724.23,-59.07
Ufone,82059.07,2021-01,,
Ufone,187880.92,2021-02,82059.07,128.96
Ufone,355161.34,2021-03,187880.92,89.04
Ufone,457219.31,2021-04,355161.34,28.74
Ufone,570939.41,2021-05,457219.31,24.87
Ufone,667795.78,2021-06,570939.41,16.96
Ufone,846486.42,2021-07,667795.78,26.76
Ufone,944225.94,2021-08,846486.42,11.55
Ufone,1002733.98,2021-09,944225.94,6.2
Ufone,1110892.95,2021-10,1002733.98,10.79
Ufone,1237884.68,2021-11,1110892.95,11.43
Ufone,1382708.71,2021-12,1237884.68,11.7
Ufone,1411319.59,2022-01,1382708.71,2.07
Ufone,1448899.71,2022-02,1411319.59,2.66
Ufone,1793675.07,2022-03,1448899.71,23.8
Ufone,1794821.89,2022-04,1793675.07,0.06
Ufone,2015085.26,2022-05,1794821.89,12.27
Ufone,2007918.35,2022-06,2015085.26,-0.36
