customer_id,recharge_in_first_3_months,recharge_in_recent_month,frequency_trend
CUST00001,5,2,decreasing
CUST00002,2,2,Stable
CUST00003,1,6,increasing
CUST00004,1,2,increasing
CUST00006,22,22,Stable
CUST00007,2,2,Stable
CUST00008,2,2,Stable
CUST00009,28,28,Stable
CUST00010,12,16,increasing
CUST00011,5,10,increasing
CUST00012,1,2,increasing
CUST00013,1,2,increasing
CUST00015,5,7,increasing
CUST00016,1,1,Stable
CUST00017,7,10,increasing
CUST00018,3,2,decreasing
CUST00019,1,2,increasing
CUST00020,5,10,increasing
CUST00021,1,4,increasing
CUST00023,27,22,decreasing
CUST00024,1,1,Stable
CUST00025,2,2,Stable
CUST00026,1,1,Stable
CUST00027,1,1,Stable
CUST00028,1,1,Stable
CUST00029,1,2,increasing
CUST00030,31,33,increasing
CUST00031,1,1,Stable
CUST00032,1,1,Stable
CUST00033,1,5,increasing
CUST00034,1,1,Stable
CUST00035,1,1,Stable
CUST00036,5,5,Stable
CUST00037,2,6,increasing
CUST00039,1,2,increasing
CUST00042,7,7,Stable
CUST00043,2,1,decreasing
CUST00044,2,3,increasing
CUST00045,8,15,increasing
CUST00046,18,11,decreasing
CUST00047,1,2,increasing
CUST00048,2,3,increasing
CUST00049,5,5,Stable
CUST00050,1,5,increasing
CUST00051,3,2,decreasing
CUST00052,3,2,decreasing
CUST00053,1,1,Stable
CUST00054,4,1,decreasing
CUST00056,1,1,Stable
CUST00057,7,11,increasing
CUST00058,7,5,decreasing
CUST00059,24,24,Stable
CUST00060,4,2,decreasing
CUST00061,10,13,increasing
CUST00062,2,1,decreasing
CUST00063,4,6,increasing
CUST00065,4,4,Stable
CUST00067,34,34,Stable
CUST00068,24,24,Stable
CUST00069,1,2,increasing
CUST00070,2,3,increasing
CUST00071,1,1,Stable
CUST00072,3,3,Stable
CUST00074,2,3,increasing
CUST00077,1,1,Stable
CUST00079,2,2,Stable
CUST00080,4,2,decreasing
CUST00081,3,1,decreasing
CUST00082,3,2,decreasing
CUST00083,1,1,Stable
CUST00084,1,1,Stable
CUST00085,2,2,Stable
CUST00087,6,7,increasing
CUST00089,10,2,decreasing
CUST00090,4,4,Stable
CUST00091,3,6,increasing
CUST00092,2,2,Stable
CUST00093,3,2,decreasing
CUST00094,1,3,increasing
CUST00095,5,2,decreasing
CUST00096,2,4,increasing
CUST00097,2,2,Stable
CUST00098,3,8,increasing
CUST00099,5,2,decreasing
CUST00100,1,1,Stable
CUST00101,4,4,Stable
CUST00102,2,3,increasing
CUST00104,1,2,increasing
CUST00105,1,1,Stable
CUST00106,11,11,Stable
CUST00107,2,5,increasing
CUST00109,21,18,decreasing
CUST00113,1,3,increasing
CUST00114,1,1,Stable
CUST00115,13,14,increasing
CUST00117,1,1,Stable
CUST00118,4,4,Stable
CUST00119,1,4,increasing
CUST00120,3,2,decreasing
CUST00121,2,1,decreasing
CUST00122,2,2,Stable
CUST00123,6,5,decreasing
CUST00124,1,1,Stable
CUST00125,3,2,decreasing
CUST00126,1,1,Stable
CUST00127,3,3,Stable
CUST00128,1,2,increasing
CUST00129,12,12,Stable
CUST00130,1,1,Stable
CUST00131,5,5,Stable
CUST00132,2,2,Stable
CUST00133,2,4,increasing
CUST00134,5,6,increasing
CUST00136,8,9,increasing
CUST00137,5,6,increasing
CUST00138,4,4,Stable
CUST00139,2,2,Stable
CUST00140,1,1,Stable
CUST00141,1,3,increasing
CUST00143,3,7,increasing
CUST00144,1,2,increasing
CUST00145,2,3,increasing
CUST00146,9,3,decreasing
CUST00147,12,6,decreasing
CUST00148,1,2,increasing
CUST00149,1,1,Stable
CUST00150,1,1,Stable
CUST00152,4,2,decreasing
CUST00153,11,10,decreasing
CUST00155,1,1,Stable
CUST00156,1,1,Stable
CUST00157,2,3,increasing
CUST00158,1,1,Stable
CUST00159,13,16,increasing
CUST00160,6,3,decreasing
CUST00161,5,5,Stable
CUST00162,2,5,increasing
CUST00163,1,2,increasing
CUST00164,6,6,Stable
CUST00165,2,1,decreasing
CUST00166,2,4,increasing
CUST00167,1,1,Stable
CUST00168,1,1,Stable
CUST00170,12,10,decreasing
CUST00171,2,6,increasing
CUST00172,1,1,Stable
CUST00173,3,1,decreasing
CUST00174,2,1,decreasing
CUST00175,5,2,decreasing
CUST00176,30,35,increasing
CUST00177,5,5,Stable
CUST00178,1,1,Stable
CUST00179,4,3,decreasing
CUST00180,2,3,increasing
CUST00181,5,5,Stable
CUST00182,4,2,decreasing
CUST00183,1,1,Stable
CUST00184,8,6,decreasing
CUST00185,2,1,decreasing
CUST00186,2,3,increasing
CUST00187,2,2,Stable
CUST00188,2,1,decreasing
CUST00189,16,20,increasing
CUST00190,5,4,decreasing
CUST00191,7,9,increasing
CUST00192,1,1,Stable
CUST00194,4,6,increasing
CUST00195,10,11,increasing
CUST00196,2,2,Stable
CUST00197,1,1,Stable
CUST00198,2,2,Stable
CUST00199,3,3,Stable
CUST00201,1,3,increasing
CUST00202,2,1,decreasing
CUST00203,5,1,decreasing
CUST00204,1,1,Stable
CUST00206,3,7,increasing
CUST00207,1,1,Stable
CUST00208,10,17,increasing
CUST00209,3,2,decreasing
CUST00210,10,10,Stable
CUST00211,4,3,decreasing
CUST00212,2,3,increasing
CUST00213,5,5,Stable
CUST00214,3,3,Stable
CUST00215,9,6,decreasing
CUST00217,33,33,Stable
CUST00218,6,2,decreasing
CUST00219,2,2,Stable
CUST00220,1,2,increasing
CUST00221,6,7,increasing
CUST00222,2,1,decreasing
CUST00223,1,1,Stable
CUST00224,11,11,Stable
CUST00225,4,5,increasing
CUST00226,1,2,increasing
CUST00227,5,2,decreasing
CUST00228,2,2,Stable
CUST00229,2,2,Stable
CUST00230,13,14,increasing
CUST00231,1,2,increasing
CUST00232,1,1,Stable
CUST00233,3,3,Stable
CUST00234,2,4,increasing
CUST00235,3,4,increasing
CUST00236,5,4,decreasing
CUST00237,3,6,increasing
CUST00238,3,3,Stable
CUST00239,32,31,decreasing
CUST00241,2,1,decreasing
CUST00242,4,4,Stable
CUST00243,2,3,increasing
CUST00245,3,5,increasing
CUST00247,4,1,decreasing
CUST00249,3,4,increasing
CUST00250,2,3,increasing
CUST00253,3,1,decreasing
CUST00254,13,14,increasing
CUST00255,1,2,increasing
CUST00256,2,4,increasing
CUST00258,2,1,decreasing
CUST00260,3,2,decreasing
CUST00261,2,3,increasing
CUST00263,3,5,increasing
CUST00264,22,22,Stable
CUST00265,2,2,Stable
CUST00266,2,1,decreasing
CUST00267,1,1,Stable
CUST00268,7,11,increasing
CUST00270,2,3,increasing
CUST00272,1,2,increasing
CUST00274,4,4,Stable
CUST00275,3,1,decreasing
CUST00276,5,3,decreasing
CUST00277,5,5,Stable
CUST00278,14,16,increasing
CUST00279,2,2,Stable
CUST00280,2,2,Stable
CUST00281,11,11,Stable
CUST00282,2,2,Stable
CUST00283,1,1,Stable
CUST00284,25,25,Stable
CUST00285,4,4,Stable
CUST00286,10,8,decreasing
CUST00287,1,1,Stable
CUST00288,1,1,Stable
CUST00289,2,4,increasing
CUST00290,1,1,Stable
CUST00291,2,2,Stable
CUST00292,3,2,decreasing
CUST00293,2,2,Stable
CUST00294,3,3,Stable
CUST00296,1,1,Stable
CUST00297,17,13,decreasing
CUST00298,1,2,increasing
CUST00300,1,1,Stable
CUST00301,4,7,increasing
CUST00303,18,19,increasing
CUST00304,1,1,Stable
CUST00305,1,2,increasing
CUST00306,3,1,decreasing
CUST00307,1,1,Stable
CUST00308,1,1,Stable
CUST00309,2,3,increasing
CUST00310,2,2,Stable
CUST00311,27,27,Stable
CUST00312,2,1,decreasing
CUST00313,1,1,Stable
CUST00314,7,4,decreasing
CUST00315,2,3,increasing
CUST00318,2,1,decreasing
CUST00319,21,18,decreasing
CUST00320,1,1,Stable
CUST00321,1,1,Stable
CUST00322,2,1,decreasing
CUST00323,1,2,increasing
CUST00324,7,7,Stable
CUST00325,2,2,Stable
CUST00326,2,1,decreasing
CUST00327,5,4,decreasing
CUST00328,4,4,Stable
CUST00329,4,2,decreasing
CUST00330,1,4,increasing
CUST00331,1,3,increasing
CUST00332,1,1,Stable
CUST00333,1,1,Stable
CUST00335,5,5,Stable
CUST00336,1,1,Stable
CUST00337,5,6,increasing
CUST00338,3,4,increasing
CUST00339,3,1,decreasing
CUST00340,2,2,Stable
CUST00342,1,1,Stable
CUST00343,1,1,Stable
CUST00344,1,1,Stable
CUST00345,5,4,decreasing
CUST00347,6,6,Stable
CUST00349,1,2,increasing
CUST00351,30,30,Stable
CUST00352,4,11,increasing
CUST00353,19,20,increasing
CUST00354,3,1,decreasing
CUST00355,3,2,decreasing
CUST00357,5,5,Stable
CUST00359,7,5,decreasing
CUST00360,2,3,increasing
CUST00362,1,1,Stable
CUST00363,3,3,Stable
CUST00364,23,20,decreasing
CUST00365,2,2,Stable
CUST00367,1,1,Stable
CUST00370,7,9,increasing
CUST00371,4,5,increasing
CUST00372,6,6,Stable
CUST00374,3,3,Stable
CUST00375,2,3,increasing
CUST00376,3,2,decreasing
CUST00377,1,1,Stable
CUST00378,7,5,decreasing
CUST00379,1,2,increasing
CUST00380,2,1,decreasing
CUST00381,2,5,increasing
CUST00382,3,3,Stable
CUST00383,1,1,Stable
CUST00384,5,3,decreasing
CUST00385,6,5,decreasing
CUST00387,17,14,decreasing
CUST00388,2,1,decreasing
CUST00389,23,23,Stable
CUST00390,12,12,Stable
CUST00392,4,7,increasing
CUST00394,3,3,Stable
CUST00395,2,2,Stable
CUST00396,2,3,increasing
CUST00397,7,6,decreasing
CUST00398,5,5,Stable
CUST00399,6,4,decreasing
CUST00401,3,1,decreasing
CUST00402,1,2,increasing
CUST00403,1,2,increasing
CUST00404,2,1,decreasing
CUST00405,3,3,Stable
CUST00406,9,13,increasing
CUST00407,1,3,increasing
CUST00408,3,6,increasing
CUST00409,1,5,increasing
CUST00410,1,1,Stable
CUST00411,1,2,increasing
CUST00412,2,2,Stable
CUST00413,4,2,decreasing
CUST00414,6,2,decreasing
CUST00417,1,1,Stable
CUST00418,3,2,decreasing
CUST00419,2,2,Stable
CUST00420,1,1,Stable
CUST00422,4,6,increasing
CUST00423,12,9,decreasing
CUST00424,20,24,increasing
CUST00425,40,40,Stable
CUST00426,3,4,increasing
CUST00428,3,3,Stable
CUST00429,2,1,decreasing
CUST00430,1,1,Stable
